,average_travel_time,average_deviation_from_free_flow_speed_kmh,total_throughput,episode,model,experiment
0,20.352098765432064,19.352773513428247,675,0,baseline_1,experiment_1
0,22.72149532710285,24.003470128217725,642,0,baseline_2,experiment_1
0,17.981910009182695,9.649807084121,726,0,baseline_3,experiment_1
0,19.152501168770414,13.691162002587319,713,0,dqn_model,experiment_1
0,19.073037857802355,14.538694967847867,722,0,baseline_1,experiment_2
0,23.359289176090492,22.564626282592847,619,0,baseline_2,experiment_2
0,23.23114427860698,24.033499410310434,670,0,baseline_3,experiment_2
0,20.93461891643706,20.094615880702023,726,0,dqn_model,experiment_2
0,17.298301795244985,8.687311404688257,687,0,baseline_1,experiment_3
0,25.646981227803206,28.610561652008624,657,0,baseline_2,experiment_3
0,18.576003734827225,14.212088158504152,714,0,baseline_3,experiment_3
0,19.484484484484458,15.166160907386962,666,0,dqn_model,experiment_3
0,21.03270223752146,26.550265827520704,581,0,baseline_1,experiment_4
0,22.569915764139576,30.604396895129153,554,0,baseline_2,experiment_4
0,21.002612152186202,26.136022727854257,587,0,baseline_3,experiment_4
0,21.445508274231624,27.360000085707295,564,0,dqn_model,experiment_4
