step,action,upstream_demand,downstream_demand,upstream_l,upstream_inflow,upstream_n_onramp1,upstream_n_onramp2,upstream_n_queued,upstream_k,upstream_v,upstream_q,downstream_l,downstream_inflow,downstream_n_onramp1,downstream_n_onramp2,downstream_n_queued,downstream_k,downstream_v,downstream_q,reward,total_reward,episode
1,0,8440.155118516728,6559.844881483272,4,9,1,1,0,3.5,98.21405477526191,1620.0,4,7,0,1,0,3.5,87.02325677132693,1440.0,-0.07381344226705579,-0.07381344226705579,0
2,1,9365.478492197151,5634.521507802849,5,8,0,1,0,6.4,91.55854965630499,2520.0,3,2,0,0,0,6.666666666666667,88.6959429709984,1440.0,-0.09542452914966787,-0.16923797141672364,0
3,1,10261.372359566392,4738.627640433608,6,16,2,2,0,9.333333333333334,90.96549756765076,5400.0,2,5,2,1,0,12.0,89.57642182255336,2160.0,-0.09451225155878461,-0.26375022297550826,0
4,1,11113.703234586324,3886.2967654136755,7,10,0,0,0,11.428571428571429,91.1876801387062,6120.0,1,5,1,0,0,28.0,82.45922448958913,2520.0,-0.11075252807361181,-0.37450275104912006,0
5,2,11909.024874391896,3090.9751256081036,6,14,1,1,0,16.0,91.56102189209314,8640.0,2,3,0,1,0,16.0,85.69191245974314,2340.0,-0.09906255465994362,-0.4735653057090637,0
6,1,12634.790405183177,2365.2095948168226,7,11,0,1,0,15.142857142857142,89.7379721730465,9000.0,1,1,0,0,0,16.0,86.40909633826632,2160.0,-0.10698601706924676,-0.5805513227783105,0
7,2,13279.550259807183,1720.4497401928165,6,13,0,1,0,20.333333333333332,87.60401715981838,9900.0,2,0,0,0,0,7.0,90.69955248858669,1260.0,-0.12077324791631938,-0.7013245706946298,0
8,1,13833.132804396133,1166.867195603867,7,16,0,0,0,18.571428571428573,87.1925692531117,11160.0,1,2,0,0,0,12.0,84.7088548550535,1800.0,-0.13017322104470694,-0.8314977917393368,0
9,1,14286.804804523636,713.1951954763645,7,15,0,1,0,20.285714285714285,87.26604319196507,12240.0,1,0,0,0,0,8.0,85.4482182003793,900.0,-0.1283090747425284,-0.9598068664818652,0
10,1,14633.409199389042,366.59080061095847,7,16,1,2,0,20.857142857142858,88.72080360681767,13140.0,1,1,0,0,0,6.0,87.16235568589406,720.0,-0.11340714074271432,-1.0732140072245795,0
11,1,14867.478010525252,132.5219894747479,7,20,1,0,0,23.142857142857142,88.2700960641303,15480.0,1,0,0,0,0,2.0,89.989310664975,360.0,-0.1170893790415208,-1.1903033862661003,0
12,1,14985.318603799307,14.681396200692689,7,14,2,3,0,22.285714285714285,88.87281498488761,13860.0,1,0,0,0,0,0.0,100.0,180.0,-0.11127185015112388,-1.3015752364172242,0
13,1,14985.071943849516,14.928056150483826,7,19,2,0,0,24.285714285714285,87.85213672822846,15120.0,1,0,0,0,0,0.0,100.0,0.0,-0.12147863271771542,-1.4230538691349395,0
14,1,14866.74192194591,133.25807805409022,7,16,0,3,0,24.285714285714285,85.30582498223774,14940.0,1,0,0,0,0,0.0,100.0,0.0,-0.14694175017762262,-1.5699956193125622,0
15,1,14632.195294602152,367.804705397848,7,16,1,2,0,24.285714285714285,84.77292881114002,14040.0,1,1,0,0,0,2.0,99.70688865729778,180.0,-0.15053420492974426,-1.7205298242423064,0
16,1,14285.132233907363,714.8677660926369,7,19,2,1,0,24.571428571428573,83.30600962928229,15660.0,1,0,0,0,0,2.0,99.83536688092438,180.0,-0.1650399775862988,-1.8855698018286051,0
17,1,13831.027954171343,1168.9720458286574,7,15,1,1,0,25.142857142857142,82.05865322138752,15480.0,1,3,0,1,0,6.0,99.65829023891261,540.0,-0.17361138964847925,-2.0591811914770846,0
18,1,13277.046335772406,1722.9536642275943,7,19,0,1,0,26.0,82.14208675968713,16740.0,1,4,1,0,0,10.0,86.57432666786235,1800.0,-0.17627067411762085,-2.2354518655947055,0
19,1,12631.92690886496,2368.07309113504,7,18,0,1,0,28.0,80.71052608185141,15840.0,1,6,0,0,0,22.0,85.02696152687919,1800.0,-0.18853870341127432,-2.42399056900598,0
20,1,11905.846979874697,3094.1530201253026,7,13,0,0,0,27.142857142857142,82.3915302877908,15120.0,1,0,0,0,0,18.0,88.02544021593172,1620.0,-0.17120919814581612,-2.595199767151796,0
21,1,11110.261075853006,3889.7389241469937,7,7,0,0,0,24.285714285714285,84.8722858442949,13500.0,1,4,0,1,0,14.0,70.85706626124968,1980.0,-0.16194089558762884,-2.757140662739425,0
22,1,10257.720239592083,4742.279760407917,7,17,0,0,0,24.0,86.57119242137044,15840.0,1,4,0,0,0,24.0,63.87928419854484,1620.0,-0.16265296106482752,-2.919793623804252,0
23,1,9361.674026273733,5638.325973726267,7,17,0,0,0,23.428571428571427,86.98901459629832,15480.0,1,2,0,0,0,24.0,68.21941951153893,1800.0,-0.15407103925160315,-3.073864663055855,0
24,1,8436.258325322722,6563.741674677278,7,14,1,0,0,22.571428571428573,87.9384473687896,13500.0,1,6,1,0,0,32.0,75.41128556350093,2520.0,-0.14171390408943238,-3.2155785671452874,0
25,2,7496.072354754966,7503.927645245034,6,11,0,0,0,23.666666666666668,88.1243959356644,13500.0,2,7,3,0,0,20.0,73.91947060599891,3600.0,-0.14997565675251096,-3.3655542238977985,0
26,1,6555.948346124064,8444.051653875937,7,6,0,0,0,16.571428571428573,89.2782293413979,12060.0,1,9,1,2,0,48.0,63.870131602144944,4140.0,-0.18158287070090764,-3.547137094598706,0
27,2,5630.71755348146,9369.28244651854,6,6,2,0,0,15.0,90.56993547789335,9360.0,2,9,2,4,0,29.0,64.04798989208396,3960.0,-0.19823799954383303,-3.745375094142539,0
28,2,4734.9762777576025,10265.023722242397,5,3,0,0,0,14.4,88.28549273041955,7020.0,3,9,2,0,0,24.666666666666668,68.57847324530226,5400.0,-0.21702996597653595,-3.962405060119075,0
29,2,3882.855597727913,11117.144402272086,4,4,1,0,0,13.5,83.2058320609253,6120.0,4,15,3,0,0,24.5,72.89935589740644,6840.0,-0.23439132833975024,-4.196796388458825,0
30,1,3087.798440253101,11912.2015597469,5,8,0,0,0,10.4,86.76710277335464,5760.0,3,11,1,2,0,36.666666666666664,72.3067430860784,7920.0,-0.23051659977265046,-4.427312988231476,0
31,2,2362.347506699875,12637.652493300126,4,6,0,0,0,12.5,89.42085572894946,5040.0,4,9,1,1,0,28.0,70.61762482557666,8460.0,-0.23578908846221863,-4.663102076693694,0
32,2,1717.9474011828156,13282.052598817185,3,2,0,0,0,14.0,89.77386303257329,4140.0,5,11,0,0,0,26.4,69.83235851693912,9540.0,-0.25354174875838836,-4.916643825452082,0
33,2,1164.7640822222515,13835.235917777749,2,0,0,0,0,13.0,78.00716483002081,2160.0,6,11,0,1,0,22.666666666666668,73.05231010245194,9540.0,-0.2615246629929626,-5.178168488445045,0
34,2,711.5244861214928,14288.475513878508,2,0,0,0,0,11.0,80.8071823551812,2340.0,6,19,1,2,0,24.0,76.25027819499643,12600.0,-0.2314579474762968,-5.409626435921342,0
35,2,365.37885214070866,14634.621147859292,1,1,0,0,0,12.0,76.70140501959173,1620.0,7,17,2,1,0,23.142857142857142,75.83169449938232,12240.0,-0.2410832546474117,-5.650709690568753,0
36,1,131.78792140473433,14868.212078595265,2,0,0,0,0,3.0,78.8269727408534,540.0,6,19,1,0,0,31.0,77.76908739085493,13680.0,-0.2219785369195762,-5.87268822748833,0
37,2,14.436789077668655,14985.563210922332,1,0,0,0,0,0.0,100.0,360.0,7,11,1,1,0,26.0,80.47223299501367,14400.0,-0.1952776700498633,-6.067965897538193,0
38,2,15.17676885939595,14984.823231140605,1,0,0,0,0,0.0,100.0,0.0,7,14,1,0,0,25.142857142857142,82.26230984277763,15480.0,-0.17737690157222374,-6.245342799110417,0
39,2,133.99618694089176,14866.003813059107,1,0,0,0,0,0.0,100.0,0.0,7,16,1,2,0,23.714285714285715,84.64384732035059,14400.0,-0.15356152679649412,-6.398904325906911,0
40,2,369.02056616846926,14630.979433831531,1,1,0,0,0,2.0,99.96022972150891,180.0,7,16,1,0,0,23.428571428571427,85.89977795395941,14760.0,-0.13930819012696616,-6.5382125160338775,0
41,2,716.5421975116076,14283.457802488392,1,1,0,0,0,4.0,99.84082876168988,360.0,7,16,0,2,0,23.714285714285715,85.35163965302797,15300.0,-0.14307438250297635,-6.681286898536854,0
42,2,1171.0786323193734,13828.921367680627,1,1,0,0,0,2.0,83.13172812865506,540.0,7,13,0,1,0,22.285714285714285,85.56916690452871,14040.0,-0.144616867508621,-6.825903766045474,0
43,2,1725.4591726004587,13274.540827399542,1,1,1,0,0,2.0,89.46912991695838,360.0,7,14,3,1,0,22.857142857142858,86.13095734098195,13140.0,-0.13827830651907236,-6.9641820725645465,0
44,2,2370.93799486923,12629.06200513077,1,3,0,0,0,8.0,83.67655538157643,720.0,7,12,1,0,0,22.285714285714285,85.3370960615081,12960.0,-0.14743905922878808,-7.111621131793335,0
45,2,3097.33212293317,11902.66787706683,1,1,1,0,0,8.0,88.05777005333798,900.0,7,11,2,0,0,21.142857142857142,83.08726178279296,14040.0,-0.16657840357179096,-7.278199535365125,0
46,2,3893.1820729838723,11106.817927016127,1,3,0,0,0,12.0,86.52858924533616,720.0,7,16,0,2,0,20.571428571428573,81.76107291373292,12600.0,-0.17872195060759138,-7.456921485972717,0
47,2,4745.932636678949,10254.06736332105,1,3,0,1,0,12.0,86.45870477188002,1440.0,7,13,2,0,0,20.571428571428573,83.46983811253989,12240.0,-0.16300249067510875,-7.619923976647826,0
48,1,5642.130950208347,9357.869049791654,2,7,1,0,0,10.0,85.28512617775485,2520.0,6,10,0,0,0,23.666666666666668,83.06020426980615,11340.0,-0.1666511401316315,-7.786575116779457,0
49,2,6567.638724637396,8432.361275362604,1,8,1,1,0,28.0,78.48859808080167,2700.0,7,12,1,0,0,19.428571428571427,85.96562438316114,12060.0,-0.15310941083095359,-7.939684527610411,0
50,1,7507.855289412921,7492.144710587079,2,8,0,2,0,20.0,79.266824077116,3060.0,6,12,2,0,0,23.333333333333332,86.44735040607725,12600.0,-0.15148322111469695,-8.091167748725107,0
