action,upstream_demand,downstream_demand,upstream_l,upstream_inflow,upstream_n_onramp1,upstream_n_onramp2,upstream_n_queued,upstream_k,upstream_v,upstream_q,downstream_l,downstream_inflow,downstream_n_onramp1,downstream_n_onramp2,downstream_n_queued,downstream_k,downstream_v,downstream_q,reward,total_reward
0,5626.770079011152,4373.229920988848,4,7,1,1,0,2.5,99.86649555827647,1080.0,4,4,0,0,0,2.0,98.58498893814306,720.0,-0.007030629395605956,-0.007030629395605956
0,6243.652328131434,3756.347671868566,4,6,0,0,0,6.5,91.52419913215765,1980.0,4,6,0,2,0,4.0,95.87014852946255,1440.0,-0.06820201097440488,-0.07523264037001084
0,6840.914906377596,3159.085093622404,4,12,1,1,0,12.0,92.91391156566692,4500.0,4,4,0,0,0,7.0,94.08404170905169,2160.0,-0.06654987855191323,-0.14178251892192406
0,7409.135489724216,2590.8645102757837,4,6,0,0,0,14.5,93.25734371902499,4140.0,4,5,0,1,0,9.0,94.06532263743736,2700.0,-0.06433217546263904,-0.2061146943845631
0,7939.349916261264,2060.6500837387357,4,10,1,0,0,17.0,89.52395152751868,6300.0,4,2,0,1,0,8.0,90.28650392571097,3420.0,-0.10232031705059783,-0.30843501143516094
0,8423.193603455453,1576.8063965445472,4,10,1,3,0,19.0,83.6110555480065,6480.0,4,2,0,0,0,8.0,87.56782330603909,3240.0,-0.15216568819983847,-0.4606006996349994
0,8853.033506538122,1146.9664934618777,4,11,1,1,0,23.0,78.35076225082058,7920.0,4,4,0,1,0,8.0,89.14327164848423,2880.0,-0.1886407403365331,-0.6492414399715325
0,9222.088536264087,777.9114637359125,4,7,0,0,0,23.0,76.09542190340889,7200.0,4,0,0,0,0,5.5,92.29819054313371,2160.0,-0.20777728008223165,-0.8570187200537641
0,9524.536536349091,475.46346365090903,4,13,2,2,0,23.5,77.09243272710044,7380.0,4,0,0,0,0,3.5,93.76214732770647,1800.0,-0.20746678343191363,-1.0644855034856777
0,9755.606132926028,244.3938670739717,4,6,2,1,0,22.0,77.9630339382631,7560.0,4,0,0,0,0,1.5,93.97034784339291,1260.0,-0.21015222620983948,-1.2746377296955171
0,9911.652007016835,88.34799298316466,4,7,0,0,0,22.0,73.28257816564688,7200.0,4,0,0,0,0,1.0,96.06623255878183,540.0,-0.2572682816508639,-1.531906011346381
0,9990.212402532872,9.787597467127853,4,9,1,1,0,21.0,75.55425532730578,6660.0,4,0,0,0,0,0.0,100.0,180.0,-0.24445744672694217,-1.7763634580733232
0,9990.047962566345,9.952037433655278,4,8,2,1,0,20.5,81.14885682362306,7200.0,4,0,0,0,0,0.0,100.0,0.0,-0.18851143176376936,-1.9648748898370925
0,9911.161281297273,88.83871870272742,4,8,1,0,0,20.5,84.32743448658113,7560.0,4,0,0,0,0,0.0,100.0,0.0,-0.15672565513418873,-2.1216005449712814
0,9754.7968630681,245.20313693189928,4,10,1,1,0,20.0,86.98885306680687,7920.0,4,0,0,0,0,0.0,100.0,0.0,-0.13011146933193132,-2.2517120143032128
0,9523.421489271575,476.5785107284246,4,13,2,0,0,22.0,80.1941956568238,7920.0,4,1,0,0,0,0.5,99.5511707010786,180.0,-0.19375649342192758,-2.44546850772514
0,9220.685302780896,779.3146972191043,4,10,1,1,0,23.5,73.24280640998631,6660.0,4,2,0,0,0,1.5,99.19821733103963,540.0,-0.25199868934750486,-2.697467197072645
0,8851.36422384827,1148.6357761517302,4,8,0,1,0,25.0,77.10350523125226,7740.0,4,1,0,0,0,2.0,98.72982275136954,540.0,-0.21294545322813135,-2.9104126503007763
0,8421.284605909974,1578.7153940900262,4,16,4,1,0,28.5,80.65945936188405,10260.0,4,1,0,0,0,2.5,98.3249055575116,900.0,-0.17915907880404064,-3.089571729104817
0,7937.231319916465,2062.7686800835354,4,10,2,0,0,30.5,79.35978468279978,9360.0,4,5,0,0,0,5.0,98.06055749848927,1440.0,-0.1800630365301859,-3.269634765635003
