#{"t_start": 1603091163.410166, "env_id": "highway-v0"}
r,l,t
-44.77162,99,108.456204
-44.280213,99,181.83601
-45.007266,99,261.602199
-37.635653,99,325.493139
-33.761991,99,406.112944
-37.42278,99,471.042361
-14.267042,99,542.8643
-24.237912,99,595.711841
-30.418679,99,646.761169
-13.680974,99,702.164903
-11.338505,99,767.197963
-14.557901,99,825.942174
-17.463595,99,887.134965
-18.684314,99,942.484994
-23.515918,99,993.670585
-11.725015,99,1065.622023
-20.881433,99,1121.288038
-19.629695,99,1183.889772
-19.706932,99,1236.508823
-16.57446,99,1292.039531
-10.034474,99,1357.419733
-21.470737,99,1409.682341
-17.274146,99,1465.565688
-5.827178,99,1521.35517
-11.053247,99,1573.878905
-15.856206,99,1625.978514
-16.433167,99,1682.122833
-3.54145,99,1746.505991
-9.58152,99,1812.122206
-8.252921,99,1873.19831
-3.54403,99,1933.519662
-7.616554,99,1988.27061
-11.240005,99,2040.979667
-10.87829,99,2095.550934
-8.607203,99,2151.323619
-21.174868,99,2202.550063
-6.526784,99,2262.831014
1.035479,99,2329.104395
-12.012937,99,2395.456767
-2.527238,99,2462.208939
-7.201003,99,2517.537444
-6.230905,99,2571.674647
-4.741195,99,2637.746926
-11.044836,99,2693.400538
-1.571601,99,2762.637495
-16.048136,99,2818.674828
-12.134396,99,2880.861666
-12.857622,99,2932.10794
-5.890721,99,2991.352418
-11.477912,99,3044.4628
-14.103066,99,3095.190675
-2.483615,99,3156.365754
-11.36866,99,3214.397249
-11.26559,99,3264.496951
-11.412038,99,3320.165256
-11.413861,99,3378.027658
-23.818439,99,3433.646519
-10.005276,99,3489.968909
-6.95396,99,3544.747528
-7.442268,99,3595.921708
-10.95941,99,3645.562153
-11.622616,99,3696.647422
-5.908311,99,3751.200948
-3.202273,99,3820.950005
2.035863,99,3887.324762
-2.664912,99,3947.236626
-14.388988,99,3999.009827
-20.609291,99,4048.693654
-4.633104,99,4101.520661
-4.079411,99,4153.143153
-4.686455,99,4211.853793
-15.494754,99,4268.099519
-16.18905,99,4322.178034
-5.056202,99,4379.76917
-6.717763,99,4441.281051
-4.186947,99,4501.821576
-0.698907,99,4571.993715
-10.577328,99,4631.606229
-2.193599,99,4682.472975
-9.608359,99,4744.234029
-4.946529,99,4796.135568
2.624856,99,4861.293143
-7.152226,99,4910.120536
-7.589615,99,4967.091896
-5.473729,99,5024.540343
-15.335478,99,5076.405662
-8.076994,99,5123.830918
-17.277939,99,5184.150798
-16.361568,99,5230.419399
-11.012717,99,5282.636381
0.004027,99,5347.839002
-3.764856,99,5413.55175
-6.317926,99,5465.259255
-1.444,99,5527.977401
-11.98994,99,5577.009982
-3.274866,99,5633.183024
-12.896556,99,5687.69937
-15.321421,99,5740.940548
-11.674837,99,5795.435264
-7.522245,99,5845.079794
1.434886,99,5907.613091
