Quarter Hour,Upstream,Downstream
2020-10-01 03:00:00,90.0,82.0
2020-10-01 03:15:00,158.0,54.0
2020-10-01 03:30:00,180.0,108.0
2020-10-01 03:45:00,232.0,80.0
2020-10-01 04:00:00,257.0,77.0
2020-10-01 04:15:00,437.0,73.0
2020-10-01 04:30:00,638.0,62.0
2020-10-01 04:45:00,823.0,27.0
2020-10-01 05:00:00,1271.0,13.0
2020-10-01 05:15:00,2029.0,47.0
2020-10-01 05:30:00,3038.0,122.0
2020-10-01 05:45:00,3132.0,60.0
2020-10-01 06:00:00,3660.0,132.0
2020-10-01 06:15:00,3813.0,449.0
2020-10-01 06:30:00,3660.0,684.0
2020-10-01 06:45:00,3469.0,945.0
2020-10-01 07:00:00,3431.0,915.0
2020-10-01 07:15:00,3242.0,1226.0
2020-10-01 07:30:00,3088.0,1552.0
2020-10-01 07:45:00,3087.0,1643.0
2020-10-01 08:00:00,3038.0,1446.0
2020-10-01 08:15:00,3170.0,1274.0
2020-10-01 08:30:00,3089.0,1229.0
2020-10-01 08:45:00,2986.0,1378.0
2020-10-01 09:00:00,2735.0,1403.0
2020-10-01 09:15:00,2746.0,1346.0
2020-10-01 09:30:00,2925.0,1321.0
2020-10-01 09:45:00,2660.0,1460.0
2020-10-01 10:00:00,2424.0,1672.0
2020-10-01 10:15:00,2346.0,1802.0
2020-10-01 10:30:00,2427.0,1807.0
2020-10-01 10:45:00,2214.0,1854.0
2020-10-01 11:00:00,2050.0,2050.0
2020-10-01 11:15:00,2235.0,2023.0
2020-10-01 11:30:00,2354.0,2114.0
2020-10-01 11:45:00,2124.0,2188.0
2020-10-01 12:00:00,1997.0,2257.0
2020-10-01 12:15:00,2145.0,2253.0
2020-10-01 12:30:00,2198.0,2142.0
2020-10-01 12:45:00,1931.0,2279.0
2020-10-01 13:00:00,1727.0,2347.0
2020-10-01 13:15:00,1924.0,2444.0
2020-10-01 13:30:00,1949.0,2393.0
2020-10-01 13:45:00,1754.0,2490.0
2020-10-01 14:00:00,1687.0,2739.0
2020-10-01 14:15:00,1761.0,3109.0
2020-10-01 14:30:00,1588.0,3396.0
2020-10-01 14:45:00,1512.0,3512.0
2020-10-01 15:00:00,1519.0,3451.0
2020-10-01 15:15:00,1619.0,3751.0
2020-10-01 15:30:00,1628.0,3460.0
2020-10-01 15:45:00,1462.0,3438.0
2020-10-01 16:00:00,1594.0,3306.0
2020-10-01 16:15:00,1618.0,3106.0
2020-10-01 16:30:00,1721.0,2805.0
2020-10-01 16:45:00,1479.0,3051.0
2020-10-01 17:00:00,1618.0,2946.0
2020-10-01 17:15:00,1463.0,3219.0
2020-10-01 17:30:00,1523.0,2879.0
2020-10-01 17:45:00,1321.0,3013.0
2020-10-01 18:00:00,1543.0,2763.0
2020-10-01 18:15:00,1380.0,2796.0
2020-10-01 18:30:00,1476.0,2348.0
2020-10-01 18:45:00,1406.0,2014.0
2020-10-01 19:00:00,1274.0,1738.0
2020-10-01 19:15:00,1079.0,1691.0
2020-10-01 19:30:00,912.0,1456.0
2020-10-01 19:45:00,706.0,1506.0
2020-10-01 20:00:00,776.0,1376.0
2020-10-01 20:15:00,757.0,1353.0
2020-10-01 20:30:00,746.0,1330.0
2020-10-01 20:45:00,580.0,1340.0
2020-10-01 21:00:00,594.0,1394.0
2020-10-01 21:15:00,637.0,1473.0
2020-10-01 21:30:00,438.0,1534.0
2020-10-01 21:45:00,310.0,1446.0
2020-10-01 22:00:00,321.0,1221.0
2020-10-01 22:15:00,295.0,1195.0
2020-10-01 22:30:00,228.0,1036.0
2020-10-01 22:45:00,198.0,918.0
2020-10-01 23:00:00,156.0,828.0
2020-10-01 23:15:00,143.0,707.0
2020-10-01 23:30:00,155.0,543.0
2020-10-01 23:45:00,110.0,478.0
